State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Person,State_District_Name
Bihar,8.6,55,8.5,48,86.7,8.3,7,30.8,86.1,8.6,17074,0.6,8.7,16476,68.9,9.1,21.9,68.6,8.3,84212,16.0,15.0,2896,26.2,44.0,14613.0,27.5,27.3,14070.0,1.3,543,17.7,27.8,14289.0,97.9,13763.0,97.8,57.4,8.0,2905,81.7,7.9,82.1,9.0,16.9,8.5,43.0,78.5,8.3,44.0,Darbhanga
Bihar,6.2,51,7.0,41,74.7,7.6,10,45.5,77.1,6.3,8931,3.4,6.2,7471,69.3,6.6,29.0,71.5,5.8,50695,21.0,21.0,8366,24.0,71.4,10001.0,12.6,25.0,8421.0,2.0,1580,17.2,26.4,9637.0,94.8,8119.0,95.4,58.2,6.2,2188,79.6,6.2,81.3,7.7,35.9,6.8,68.3,80.5,7.4,49.0,Gaya
Bihar,5.9,72,6.2,65,90.0,6.6,7,61.4,89.9,5.9,16006,0.5,5.1,15225,74.8,4.0,43.3,74.3,6.2,95703,9.0,10.0,4332,25.0,55.5,16210.0,31.1,26.1,15467.0,3.7,743,18.9,26.2,15942.0,95.6,15206.0,95.4,46.9,5.6,3785,83.3,5.7,82.9,6.8,14.9,6.2,68.5,81.8,6.4,46.0,Gopalganj
Bihar,5.5,43,6.0,38,65.4,6.6,5,49.2,64.8,5.5,9045,0.5,5.7,8597,50.0,6.0,36.5,49.8,5.4,49514,21.0,22.0,2593,25.7,63.9,10168.0,12.2,26.7,9709.0,4.4,459,19.7,27.0,9892.0,89.6,9451.0,89.5,70.9,5.5,2176,59.8,5.5,59.8,6.5,33.1,6.0,48.6,66.6,6.5,51.0,Jamui
Bihar,5.2,98,5.3,87,84.0,5.5,11,73.0,85.3,5.1,21897,7.8,5.4,20629,79.1,4.8,55.8,80.4,5.9,113895,21.0,22.0,6889,23.9,78.9,21855.0,20.5,24.7,20575.0,1.6,1280,18.6,25.0,21206.0,97.7,19981.0,98.0,58.9,5.0,4321,91.0,5.0,91.5,5.6,31.0,5.3,74.3,90.2,5.4,47.0,Jehanabad
Bihar,5.4,57,5.3,54,78.5,5.3,3,70.0,78.2,5.4,10555,0.5,5.0,10181,69.1,5.6,45.2,68.8,4.5,62188,23.0,23.0,2125,24.3,72.8,11679.0,16.6,25.0,11291.0,1.9,388,18.9,25.3,11381.0,96.7,11006.0,96.7,48.6,4.9,2905,81.9,4.9,81.7,5.7,31.7,5.3,69.7,82.1,5.3,48.0,Kaimur (Bhabua)
Bihar,5.9,53,6.3,46,78.4,6.7,7,32.2,78.1,5.9,18411,1.3,6.7,17653,69.3,7.0,26.2,68.5,6.4,87988,14.0,14.0,3717,28.1,51.1,15611.0,22.7,29.6,14931.0,4.9,680,21.8,30.3,15169.0,93.6,14519.0,93.4,72.4,5.7,3447,81.9,5.7,81.3,6.9,8.4,6.3,59.1,80.7,6.8,52.0,Katihar
Bihar,9.5,74,9.3,67,88.0,8.9,7,65.4,87.8,9.6,24783,0.0,6.6,23925,84.8,6.3,56.3,84.7,6.9,132692,14.0,15.0,4437,30.3,58.8,23414.0,31.8,31.6,22620.0,8.1,794,21.2,32.1,22999.0,91.4,22221.0,91.1,63.6,8.6,4745,88.7,8.7,88.5,9.8,14.0,9.1,68.0,88.7,8.8,59.0,Khagaria
Bihar,5.9,38,6.5,32,40.6,6.9,6,34.8,38.3,6.1,12616,0.5,4.9,11633,32.2,5.2,27.8,29.7,4.6,61807,12.0,12.0,4704,30.4,85.8,10371.0,38.4,33.1,9582.0,8.9,789,24.1,34.4,9917.0,86.3,9165.0,85.1,75.4,5.7,2316,56.5,5.9,54.3,7.1,11.2,6.3,84.0,57.0,6.7,56.0,Kishanganj
Bihar,5.8,86,5.9,68,75.9,6.0,18,62.2,76.4,5.8,21059,3.4,6.1,19457,67.3,6.5,44.9,67.7,5.8,117494,20.0,21.0,8664,23.2,68.5,22366.0,17.1,24.0,20713.0,3.3,1653,17.3,24.6,21621.0,95.3,20033.0,95.5,57.6,5.7,4487,81.7,5.6,82.2,6.2,25.5,5.9,61.0,81.0,6.0,45.0,Lakhisarai
